ClassName,MathodName,describe,Event A-object,Event A-behavious,Event A-api,Event B-object,Event B-behavious,Event B-api,Modal,Conditon
android.media.browse.MediaBrowser.ConnectionCallback,void onConnected(), Invoked after connect() when the request has successfully completed.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.ConnectionCallback,void onConnectionFailed(), Invoked when the connection to the media browser failed.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.ConnectionCallback,void onConnectionSuspended(), Invoked when the client is disconnected from the media browser.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.ItemCallback,void onItemLoaded(MediaBrowser.MediaItem item), Called when the item has been returned by the connected service.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.SubscriptionCallback,"void onChildrenLoaded(String parentId, List<MediaBrowser.MediaItem> children)", Called when the list of children is loaded or updated.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.SubscriptionCallback,"void onChildrenLoaded(String parentId, List<MediaBrowser.MediaItem> children, Bundle options)", Called when the list of children is loaded or updated.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.SubscriptionCallback,void onError(String parentId), Called when the id doesn't exist or other errors in subscribing.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser.SubscriptionCallback,"void onError(String parentId, Bundle options)", Called when the id doesn't exist or other errors in subscribing.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser,"void subscribe(String parentId, Bundle options, MediaBrowser.SubscriptionCallback callback)", Queries with service-specific arguments for information about the media items that are contained within the specified id and subscribes to receive updates when they change.,,,,,,,,
,,,,,,,,,,
android.media.browse.MediaBrowser,"void subscribe(String parentId, MediaBrowser.SubscriptionCallback callback)", Queries for information about the media items that are contained within the specified id and subscribes to receive updates when they change.,,,,,,,,
,,,,,,,,,,
android.media.DeniedByServerException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.effect.EffectUpdateListener,"abstract void onEffectUpdated(Effect effect, Object info)", Called when the effect state is updated.,,,,,,,,
,,,,,,,,,,
android.media.ImageReader.OnImageAvailableListener,abstract void onImageAvailable(ImageReader reader), Callback that is called when a new image is available from ImageReader.,,,,,,,,
,,,,,,,,,,
android.media.ImageReader,"void setOnImageAvailableListener(ImageReader.OnImageAvailableListener listener, Handler handler)", Register a listener to be invoked when a new image becomes available from the ImageReader.,,,,,,,,
,,,,,,,,,,
android.media.ImageWriter.OnImageReleasedListener,abstract void onImageReleased(ImageWriter writer), Callback that is called when an input Image is released back to ImageWriter after the data consumption.,,,,,,,,
,,,,,,,,,,
android.media.ImageWriter,"void setOnImageReleasedListener(ImageWriter.OnImageReleasedListener listener, Handler handler)", Register a listener to be invoked when an input Image is returned to the ImageWriter.,,,,,,,,
,,,,,,,,,,
android.media.JetPlayer.OnJetEventListener,"abstract void onJetEvent(JetPlayer player, short segment, byte track, byte channel, byte controller, byte value)", Callback for when the JET engine generates a new event.,,,,,,,,
,,,,,,,,,,
android.media.JetPlayer.OnJetEventListener,"abstract void onJetNumQueuedSegmentUpdate(JetPlayer player, int nbSegments)", Callback for when JET's number of queued segments is updated.,,,,,,,,
,,,,,,,,,,
android.media.JetPlayer.OnJetEventListener,"abstract void onJetPauseUpdate(JetPlayer player, int paused)", Callback for when JET pause state is updated.,,,,,,,,
,,,,,,,,,,
android.media.JetPlayer.OnJetEventListener,"abstract void onJetUserIdUpdate(JetPlayer player, int userId, int repeatCount)", Callback for when JET's currently playing segment's userID is updated.,,,,,,,,
,,,,,,,,,,
android.media.JetPlayer,void setEventListener(JetPlayer.OnJetEventListener listener), Sets the listener JetPlayer notifies when a JET event is generated by the rendering and playback engine.,,,,,,,,
,,,,,,,,,,
android.media.JetPlayer,"void setEventListener(JetPlayer.OnJetEventListener listener, Handler handler)", Sets the listener JetPlayer notifies when a JET event is generated by the rendering and playback engine.,,,,,,,,
,,,,,,,,,,
android.media.MediaActionSound,void load(int soundName), Preload a predefined platform sound to minimize latency when the sound is played later by play(int).,,,,,,,,
,,,,,,,,,,
android.media.MediaCasException.DeniedByServerException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCasException.NotProvisionedException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCasException.ResourceBusyException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCasException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCasException.UnsupportedCasException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec.Callback,"abstract void onError(MediaCodec codec, MediaCodec.CodecException e)", Called when the MediaCodec encountered an error,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec.Callback,"abstract void onInputBufferAvailable(MediaCodec codec, int index)", Called when an input buffer becomes available.,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec.Callback,"abstract void onOutputBufferAvailable(MediaCodec codec, int index, MediaCodec.BufferInfo info)", Called when an output buffer becomes available.,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec.Callback,"abstract void onOutputFormatChanged(MediaCodec codec, MediaFormat format)", Called when the output format has changed,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec.OnFrameRenderedListener,"abstract void onFrameRendered(MediaCodec codec, long presentationTimeUs, long nanoTime)", Called when an output frame has rendered on the output surface.,,,,,,,,
,,,,,,,,,,
android.media.MediaCodec,"void setOnFrameRenderedListener(MediaCodec.OnFrameRenderedListener listener, Handler handler)", Registers a callback to be invoked when an output frame is rendered on the output surface.,,,,,,,,
,,,,,,,,,,
android.media.MediaCodecInfo.CodecProfileLevel,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaCryptoException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaDrm.KeyRequest,String getDefaultUrl()," Get the default URL to use when sending the key request message to a server, if known.",,,,,,,,
,,,,,,,,,,
android.media.MediaDrm.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaDrm.OnEventListener,"abstract void onEvent(MediaDrm md, byte[] sessionId, int event, int extra, byte[] data)", Called when an event occurs that requires the app to be notified,,,,,,,,
,,,,,,,,,,
android.media.MediaDrm.OnExpirationUpdateListener,"abstract void onExpirationUpdate(MediaDrm md, byte[] sessionId, long expirationTime)"," Called when a session expiration update occurs, to inform the app about the change in expiration time",,,,,,,,
,,,,,,,,,,
android.media.MediaDrm.OnKeyStatusChangeListener,"abstract void onKeyStatusChange(MediaDrm md, byte[] sessionId, List<MediaDrm.KeyStatus> keyInformation, boolean hasNewUsableKey)"," Called when the keys in a session change status, such as when the license is renewed or expires.",,,,,,,,
,,,,,,,,,,
android.media.MediaDrm.ProvisionRequest,String getDefaultUrl()," Get the default URL to use when sending the provision request message to a server, if known.",,,,,,,,
,,,,,,,,,,
android.media.MediaDrm,void setOnEventListener(MediaDrm.OnEventListener listener), Register a callback to be invoked when an event occurs,,,,,,,,
,,,,,,,,,,
android.media.MediaDrm,"void setOnExpirationUpdateListener(MediaDrm.OnExpirationUpdateListener listener, Handler handler)", Register a callback to be invoked when a session expiration update occurs.,,,,,,,,
,,,,,,,,,,
android.media.MediaDrm,"void setOnKeyStatusChangeListener(MediaDrm.OnKeyStatusChangeListener listener, Handler handler)"," Register a callback to be invoked when the state of keys in a session change, e.g.",,,,,,,,
,,,,,,,,,,
android.media.MediaDrmException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaDrmResetException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaExtractor.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaExtractor,void release(), Make sure you call this when you're done to free up any resources instead of relying on the garbage collector to do this for you at some point in the future.,,,,,,,,
,,,,,,,,,,
android.media.MediaMetadataRetriever,void release(), Call it when one is done with the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaMuxer.OutputFormat,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaMuxer,void release(), Make sure you call this when you're done to free up any resources instead of relying on the garbage collector to do this for you at some point in the future.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer.NoDrmSchemeException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer.OnCompletionListener,abstract void onCompletion(MediaPlayer mp), Called when the end of a media source is reached during playback.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer.OnPreparedListener,abstract void onPrepared(MediaPlayer mp), Called when the media file is ready for playback.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer.ProvisioningNetworkErrorException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer.ProvisioningServerErrorException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setNextMediaPlayer(MediaPlayer next), Set the MediaPlayer to start when this MediaPlayer finishes playback (i.e.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnBufferingUpdateListener(MediaPlayer.OnBufferingUpdateListener listener), Register a callback to be invoked when the status of a network stream's buffer has changed.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnCompletionListener(MediaPlayer.OnCompletionListener listener), Register a callback to be invoked when the end of a media source has been reached during playback.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnDrmInfoListener(MediaPlayer.OnDrmInfoListener listener), Register a callback to be invoked when the DRM info is known.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,"void setOnDrmInfoListener(MediaPlayer.OnDrmInfoListener listener, Handler handler)", Register a callback to be invoked when the DRM info is known.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,"void setOnDrmPreparedListener(MediaPlayer.OnDrmPreparedListener listener, Handler handler)", Register a callback to be invoked when the DRM object is prepared.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnDrmPreparedListener(MediaPlayer.OnDrmPreparedListener listener), Register a callback to be invoked when the DRM object is prepared.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnErrorListener(MediaPlayer.OnErrorListener listener), Register a callback to be invoked when an error has happened during an asynchronous operation.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnInfoListener(MediaPlayer.OnInfoListener listener), Register a callback to be invoked when an info/warning is available.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnPreparedListener(MediaPlayer.OnPreparedListener listener), Register a callback to be invoked when the media source is ready for playback.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnSeekCompleteListener(MediaPlayer.OnSeekCompleteListener listener), Register a callback to be invoked when a seek operation has been completed.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnTimedMetaDataAvailableListener(MediaPlayer.OnTimedMetaDataAvailableListener listener), Register a callback to be invoked when a selected track has timed metadata available.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnTimedTextListener(MediaPlayer.OnTimedTextListener listener), Register a callback to be invoked when a timed text is available for display.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer,void setOnVideoSizeChangedListener(MediaPlayer.OnVideoSizeChangedListener listener), Register a callback to be invoked when the video size is known or updated.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer2.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer2.NoDrmSchemeException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer2.ProvisioningNetworkErrorException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer2.ProvisioningServerErrorException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer2,"abstract void registerDrmEventCallback(Executor executor, MediaPlayer2.DrmEventCallback eventCallback)", Register a callback to be invoked when the media source is ready for playback.,,,,,,,,
,,,,,,,,,,
android.media.MediaPlayer2,"abstract void registerEventCallback(Executor executor, MediaPlayer2.EventCallback eventCallback)", Register a callback to be invoked when the media source is ready for playback.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.AudioEncoder,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.AudioSource,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.MetricsConstants,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.OnErrorListener,"abstract void onError(MediaRecorder mr, int what, int extra)", Called when an error occurs while recording.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.OutputFormat,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder,Surface getSurface(), Gets the surface to record from when using SURFACE video source.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder,void setInputSurface(Surface surface), Configures the recorder to use a persistent surface when using SURFACE video source.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder,void setNextOutputFile(File file), Sets the next output file to be used when the maximum filesize is reached on the prior output setOutputFile(File) or setNextOutputFile(File)).,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder,void setNextOutputFile(FileDescriptor fd), Sets the next output file descriptor to be used when the maximum filesize is reached on the prior output setOutputFile(File) or setNextOutputFile(File)).,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder,void setOnErrorListener(MediaRecorder.OnErrorListener l), Register a callback to be invoked when an error occurs while recording.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder,void setOnInfoListener(MediaRecorder.OnInfoListener listener), Register a callback to be invoked when an informational event occurs while recording.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.VideoEncoder,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaRecorder.VideoSource,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteAdded(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route for the specified type was added.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteChanged(MediaRouter router, MediaRouter.RouteInfo info)", Called when an aspect of the indicated route has changed.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteGrouped(MediaRouter router, MediaRouter.RouteInfo info, MediaRouter.RouteGroup group, int index)", Called when a route is added to a group.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"void onRoutePresentationDisplayChanged(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route's presentation display changes.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteRemoved(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route for the specified type was removed.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteSelected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes selected as the active route for the given route type.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteUngrouped(MediaRouter router, MediaRouter.RouteInfo info, MediaRouter.RouteGroup group)", Called when a route is removed from a group.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteUnselected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes unselected as the active route for the given route type.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.Callback,"abstract void onRouteVolumeChanged(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route's volume changes.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.RouteInfo,Display getPresentationDisplay(), Gets the Display that should be used by the application to show a Presentation on an external display when this route is selected.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteAdded(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route for the specified type was added.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteChanged(MediaRouter router, MediaRouter.RouteInfo info)", Called when an aspect of the indicated route has changed.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteGrouped(MediaRouter router, MediaRouter.RouteInfo info, MediaRouter.RouteGroup group, int index)", Called when a route is added to a group.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteRemoved(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route for the specified type was removed.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteSelected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes selected as the active route for the given route type.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteUngrouped(MediaRouter router, MediaRouter.RouteInfo info, MediaRouter.RouteGroup group)", Called when a route is removed from a group.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteUnselected(MediaRouter router, int type, MediaRouter.RouteInfo info)", Called when the supplied route becomes unselected as the active route for the given route type.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.SimpleCallback,"void onRouteVolumeChanged(MediaRouter router, MediaRouter.RouteInfo info)", Called when a route's volume changes.,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.VolumeCallback,"abstract void onVolumeSetRequest(MediaRouter.RouteInfo info, int volume)", Called when the volume for the route should be set to the given value,,,,,,,,
,,,,,,,,,,
android.media.MediaRouter.VolumeCallback,"abstract void onVolumeUpdateRequest(MediaRouter.RouteInfo info, int direction)", Called when the volume for the route should be increased or decreased.,,,,,,,,
,,,,,,,,,,
android.media.MediaScannerConnection.MediaScannerConnectionClient,abstract void onMediaScannerConnected(), Called to notify the client when a connection to the MediaScanner service has been established.,,,,,,,,
,,,,,,,,,,
android.media.MediaScannerConnection.MediaScannerConnectionClient,"abstract void onScanCompleted(String path, Uri uri)", Called to notify the client when the media scanner has finished scanning a file.,,,,,,,,
,,,,,,,,,,
android.media.MediaScannerConnection.OnScanCompletedListener,"abstract void onScanCompleted(String path, Uri uri)", Called to notify the client when the media scanner has finished scanning a file.,,,,,,,,
,,,,,,,,,,
android.media.MediaScannerConnection,"static void scanFile(Context context, String[] paths, String[] mimeTypes, MediaScannerConnection.OnScanCompletedListener callback)"," Convenience for constructing a MediaScannerConnection, calling connect() on it, and calling scanFile(Context, String[], String[], MediaScannerConnection.OnScanCompletedListener) with the given path and mimeType when the connection is established.",,,,,,,,
,,,,,,,,,,
android.media.MediaSync.Callback,"abstract void onAudioBufferConsumed(MediaSync sync, ByteBuffer audioBuffer, int bufferId)", Called when returning an audio buffer which has been consumed.,,,,,,,,
,,,,,,,,,,
android.media.MediaSync,void release(), Make sure you call this when you're done to free up any opened component instance instead of relying on the garbage collector to do this for you at some point in the future.,,,,,,,,
,,,,,,,,,,
android.media.MicrophoneInfo.Coordinate3F,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiDeviceService,void onClose(), Called to notify when our device has been closed by all its clients,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiDeviceService,void onCreate(), Called by the system when the service is first created.,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiDeviceService,void onDeviceStatusChanged(MidiDeviceStatus status), Called to notify when an our MidiDeviceStatus has changed,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiInputPort,void onFlush(), Called when the receiver is instructed to discard all pending MIDI data.,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiManager.DeviceCallback,void onDeviceAdded(MidiDeviceInfo device), Called to notify when a new MIDI device has been added,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiManager.DeviceCallback,void onDeviceRemoved(MidiDeviceInfo device), Called to notify when a MIDI device has been removed,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiManager.DeviceCallback,void onDeviceStatusChanged(MidiDeviceStatus status), Called to notify when the status of a MIDI device has changed,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiManager,"void registerDeviceCallback(MidiManager.DeviceCallback callback, Handler handler)", Registers a callback to receive notifications when MIDI devices are added and removed.,,,,,,,,
,,,,,,,,,,
android.media.midi.MidiReceiver,void onFlush(), Called when the receiver is instructed to discard all pending MIDI data.,,,,,,,,
,,,,,,,,,,
android.media.NotProvisionedException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.projection.MediaProjection.Callback,void onStop(), Called when the MediaProjection session is no longer valid.,,,,,,,,
,,,,,,,,,,
android.media.projection.MediaProjection,"void registerCallback(MediaProjection.Callback callback, Handler handler)", Register a listener to receive notifications about when the MediaProjection changes state.,,,,,,,,
,,,,,,,,,,
android.media.ResourceBusyException,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.session.MediaSession.Callback,"void onCommand(String command, Bundle args, ResultReceiver cb)", Called when a controller has sent a command to this session.,,,,,,,,
,,,,,,,,,,
android.media.session.MediaSession.Callback,"void onCustomAction(String action, Bundle extras)", Called when a MediaController wants a PlaybackState.CustomAction to be performed.,,,,,,,,
,,,,,,,,,,
android.media.session.MediaSession.Callback,boolean onMediaButtonEvent(Intent mediaButtonIntent), Called when a media button is pressed and this session has the highest priority or a controller sends a media button event to the session.,,,,,,,,
,,,,,,,,,,
android.media.session.MediaSession,void release(), This must be called when an app has finished performing playback.,,,,,,,,
,,,,,,,,,,
android.media.session.MediaSessionManager,"void addOnActiveSessionsChangedListener(MediaSessionManager.OnActiveSessionsChangedListener sessionListener, ComponentName notificationListener)", Add a listener to be notified when the list of active sessions changes.This requires the android.Manifest.permission.MEDIA_CONTENT_CONTROL permission be held by the calling app.,,,,,,,,
,,,,,,,,,,
android.media.session.MediaSessionManager,"void addOnActiveSessionsChangedListener(MediaSessionManager.OnActiveSessionsChangedListener sessionListener, ComponentName notificationListener, Handler handler)", Add a listener to be notified when the list of active sessions changes.This requires the android.Manifest.permission.MEDIA_CONTENT_CONTROL permission be held by the calling app.,,,,,,,,
,,,,,,,,,,
android.media.SoundPool.OnLoadCompleteListener,"abstract void onLoadComplete(SoundPool soundPool, int sampleId, int status)", Called when a sound has completed loading.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvContentRating,boolean contains(TvContentRating rating), Returns true if this rating has the same main rating as the specified rating and when this rating's sub-ratings contain the other's.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvContract.Channels.Logo,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvContract.PreviewPrograms,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvContract.Programs,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvContract.RecordedPrograms,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvContract.WatchNextPrograms,void finalize(), Called by the garbage collector on an object when garbage collection determines that there are no more references to the object.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputManager.TvInputCallback,void onInputAdded(String inputId), This is called when a TV input is added to the system.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputManager.TvInputCallback,void onInputRemoved(String inputId), This is called when a TV input is removed from the system.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputManager.TvInputCallback,"void onInputStateChanged(String inputId, int state)", This is called when the state of a given TV input is changed.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputManager.TvInputCallback,void onInputUpdated(String inputId), This is called when a TV input is updated on the system.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputManager.TvInputCallback,void onTvInputInfoUpdated(TvInputInfo inputInfo), This is called when the information about an existing TV input has been updated.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.HardwareSession,void onHardwareVideoAvailable(), Called when the underlying hardware TV input session calls notifyVideoAvailable().,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.HardwareSession,void onHardwareVideoUnavailable(int reason), Called when the underlying hardware TV input session calls notifyVideoUnavailable(int).,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.RecordingSession,abstract void onRelease(), Called when the application requests to release all the resources held by this recording session.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.RecordingSession,abstract void onStartRecording(Uri programUri), Called when the application requests to start TV program recording.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.RecordingSession,abstract void onStopRecording(), Called when the application requests to stop TV program recording.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.RecordingSession,"void onTune(Uri channelUri, Bundle params)", Called when the application requests to tune to a given channel for TV program recording.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.RecordingSession,abstract void onTune(Uri channelUri), Called when the application requests to tune to a given channel for TV program recording.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,View onCreateOverlayView(), Called when the application requests to create an overlay view.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,"void onOverlayViewSizeChanged(int width, int height)", Called when the size of the overlay view is changed by the application.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,abstract void onRelease(), Called when the session is released.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,abstract boolean onSetSurface(Surface surface), Called when the application sets the surface.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,void onTimeShiftPause(), Called when the application requests to pause playback.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,void onTimeShiftPlay(Uri recordedProgramUri), Called when the application requests to play a given recorded TV program.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,void onTimeShiftResume(), Called when the application requests to resume playback.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,void onTimeShiftSeekTo(long timeMs), Called when the application requests to seek to a specified time position.,,,,,,,,
,,,,,,,,,,
android.media.tv.TvInputService.Session,void onTimeShiftSetPlaybackParams(PlaybackParams params), Called when the application sets playback parameters containing the speed and audio mode.,,,,,,,,
,,,,,,,,,,
